id;artist_name;artist_popularity;artist_followers;artist_genres
00Nnsh2ykMBYnCDsSFGXSY;Earl Klugh;51;98263;jazz guitar,smooth jazz
01QTIT5P1pFP3QnnFSdsJf;Lupe Fiasco;70;1375115;chicago rap,conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop
01UzgUtDa2NqWuvUjrrl3p;Heitor Villa-Lobos;48;46097;brazilian composition,classical,early modern classical,latin classical,neoclassicism
01aC2ikO4Xgb2LUpf9JfKp;Gary Clark Jr.;64;669283;blues rock,electric blues,funk,garage rock,modern blues,modern blues rock,rock,soul blues,texas blues
03YhcM6fxypfwckPCQV8pQ;Wes Montgomery;56;143392;bebop,contemporary post-bop,cool jazz,hard bop,jazz,jazz fusion,jazz guitar,soul jazz
0405vQf1OWX5FCqlOTmIP7;Dave O'Donnell;18;13;
04HwdlOSZ8Rnmp4D3vyjI2;Nigel Hall;37;5982;modern funk,new orleans funk
05YVYeV4HxYp5rrWalvuE1;Grover Washington, Jr.;60;128712;jazz funk,smooth jazz
05oH07COxkXKIMt6mIPRee;Brandy;70;1655418;dance pop,hip hop,hip pop,neo soul,pop,pop rap,r&b,urban contemporary
073AjXFaMayG50bDyAopud;Lee Moses;41;19212;southern soul
07d5etnpjriczFBB8pxmRe;BJ The Chicago Kid;70;293164;alternative r&b,chicago rap,deep pop r&b,hip hop,indie r&b,indie soul,neo soul,rap,southern hip hop,underground hip hop
08YadB7oKIN5eIRT7y6xLN;Stephanie McKay;33;2800;
09hVIj6vWgoCDtT03h8ZCa;A Tribe Called Quest;71;1202211;alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz rap,queens hip hop,rap
0AD4odMWVQ2wUSlgxOB5Rl;Jeff Beck;58;419364;album rock,art rock,blues,blues rock,british blues,classic rock,electric blues,hard rock,instrumental rock,jazz fusion,psychedelic rock,rock,roots rock,symphonic rock
0AepkoQhYvkjEzzwIcGxdV;Jacob Banks;65;281066;indie r&b,uk contemporary r&b
0CUpzKPDfIVzYqMn47jiV3;Curtis Harding;55;111258;funk,soul
0D3h8NZqNp7BN97JwtV6eW;Tigran Hamasyan;48;75886;contemporary jazz,jazz piano,modern jazz piano
0F3Aew9DSd6fb6192K1K0Y;Keith Jarrett;60;195358;contemporary jazz,contemporary post-bop,cool jazz,ecm-style jazz,jazz,jazz fusion,jazz piano
0FMucZsEnCxs5pqBjHjIc8;Stan Getz;68;248184;adult standards,bebop,bossa nova,cool jazz,jazz,jazz saxophone,latin jazz,vocal jazz
0FPWyyf6MD4QZTj3aypD3O;We Are KING;39;24599;neo r&b
0FrpdcVlJQqibaz5HfBUrL;Rick James;63;676053;disco,funk,motown,post-disco,quiet storm,soul,synth funk
