name;durantion_ms;explicit;added_at;album;release_date;artist_id;audio_features.danceability;audio_features.energy;audio_features.key;audio_features.loudness;audio_features.mode;audio_features.speechiness;audio_features.acousticness;audio_features.instrumentalness;audio_features.liveness;audio_features.valence;audio_features.tempo;audio_features.type;audio_features.id;audio_features.uri;audio_features.track_href;audio_features.analysis_url;audio_features.duration_ms;audio_features.time_signature;audio_features.error.status;audio_features.error.message
Touch The Sky;3.9433333333333334;True;2020-05-24T04:47:54Z;Late Registration;2005-09-30;5K4W6rqBFWDnAN6FQUkS6x,01QTIT5P1pFP3QnnFSdsJf;0.524;0.846;9.0;-4.912;1.0;0.347;0.0114;0.0;0.309;0.551;98.385;audio_features;2dxjKgT0li4qBI3QwuN9Ih;spotify:track:2dxjKgT0li4qBI3QwuN9Ih;https://api.spotify.com/v1/tracks/2dxjKgT0li4qBI3QwuN9Ih;https://api.spotify.com/v1/audio-analysis/2dxjKgT0li4qBI3QwuN9Ih;236600.0;1.0;;
Write at Home;6.3814166666666665;False;2020-05-24T04:41:42Z;Radio Silence;2017-11-17;0lEssBAxQl2In4RpaB1C2Y,0PaGaCXtn1dCzR0hZwy3iX,4jCbgl5Dmt3uOh8WRQfpPs,5cM1PvItlR21WUyBnsdMcn;0.614;0.54;5.0;-11.241;1.0;0.127;0.054;0.000838;0.15;0.156;95.251;audio_features;4EnaOPZZ6tla9TWsRQaxYk;spotify:track:4EnaOPZZ6tla9TWsRQaxYk;https://api.spotify.com/v1/tracks/4EnaOPZZ6tla9TWsRQaxYk;https://api.spotify.com/v1/audio-analysis/4EnaOPZZ6tla9TWsRQaxYk;382885.0;4.0;;
You;3.0304333333333333;True;2020-05-24T04:36:11Z;The Renaissance;2008-11-04;3ZotbHeyVQKxQCPDJuQ4SU;0.532;0.848;7.0;-6.712;0.0;0.106;0.484;3.25e-05;0.24;0.722;92.231;audio_features;4FIMqjMdiZkTRcaqgES0ya;spotify:track:4FIMqjMdiZkTRcaqgES0ya;https://api.spotify.com/v1/tracks/4FIMqjMdiZkTRcaqgES0ya;https://api.spotify.com/v1/audio-analysis/4FIMqjMdiZkTRcaqgES0ya;181827.0;4.0;;
The Life;5.097766666666667;False;2020-05-24T04:33:45Z;Blak and Blu;2012-10-22;01aC2ikO4Xgb2LUpf9JfKp;0.682;0.796;2.0;-3.129;1.0;0.0423;0.0172;0.0;0.159;0.761;90.009;audio_features;1jdlyu1JvtENUlxXntEife;spotify:track:1jdlyu1JvtENUlxXntEife;https://api.spotify.com/v1/tracks/1jdlyu1JvtENUlxXntEife;https://api.spotify.com/v1/audio-analysis/1jdlyu1JvtENUlxXntEife;305867.0;4.0;;
No Wrong No Right (feat. Robert Glasper, James Fauntleroy);5.113416666666667;False;2020-05-24T04:31:09Z;3ChordFold;2013-08-13;7MNEVabc4cs19CbzAFZmXz;0.572;0.641;10.0;-9.565;1.0;0.258;0.00272;0.0181;0.203;0.343;175.097;audio_features;769O71M6bzhU3ZXm1xF6VW;spotify:track:769O71M6bzhU3ZXm1xF6VW;https://api.spotify.com/v1/tracks/769O71M6bzhU3ZXm1xF6VW;https://api.spotify.com/v1/audio-analysis/769O71M6bzhU3ZXm1xF6VW;306805.0;4.0;;
Universal Language;3.65875;False;2020-05-24T04:29:26Z;Chris Dave And The Drumhedz;2018-01-26;3UdXt9iWJmKa9Rq481qd4O;0.635;0.709;11.0;-7.922;1.0;0.24;0.281;0.0;0.868;0.622;86.081;audio_features;5HS9dpiLOAT03qgv3lP5cR;spotify:track:5HS9dpiLOAT03qgv3lP5cR;https://api.spotify.com/v1/tracks/5HS9dpiLOAT03qgv3lP5cR;https://api.spotify.com/v1/audio-analysis/5HS9dpiLOAT03qgv3lP5cR;219525.0;4.0;;
Dumb It Down (feat. GemStones & Graham Burris);4.062433333333333;True;2020-05-23T21:24:59Z;Lupe Fiasco's The Cool;2007-01-01;01QTIT5P1pFP3QnnFSdsJf,2OpXRV68ugAWR3OmsuCyVT,7Fq1u3bHtBYIpJ4P3jxYGc;0.703;0.768;1.0;-6.26;1.0;0.29;0.147;0.0;0.281;0.102;95.114;audio_features;0SPUNC31ZXVbadaj4M5TfD;spotify:track:0SPUNC31ZXVbadaj4M5TfD;https://api.spotify.com/v1/tracks/0SPUNC31ZXVbadaj4M5TfD;https://api.spotify.com/v1/audio-analysis/0SPUNC31ZXVbadaj4M5TfD;243747.0;4.0;;
Pass Me Over;6.6688833333333335;False;2020-05-23T21:23:38Z;Ain't Nobody Worryin';2005-12-13;2DzRMyWgjuMbYvt5BLbpCo;0.544;0.557;0.0;-8.079;1.0;0.0521;0.261;0.0;0.129;0.482;155.687;audio_features;1SgHNH36l41IIhuYGY4VCa;spotify:track:1SgHNH36l41IIhuYGY4VCa;https://api.spotify.com/v1/tracks/1SgHNH36l41IIhuYGY4VCa;https://api.spotify.com/v1/audio-analysis/1SgHNH36l41IIhuYGY4VCa;400133.0;4.0;;
Imagine;4.7031;True;2020-05-23T20:19:36Z;Tha Blue Carpet Treatment;2006-01-01;7hJcb9fa4alzcOq3EaNPoG,6DPYiyq5kWVQS4RGwxzPC7,336vr2M3Va0FjyvB55lJEd;0.803;0.627;6.0;-3.787;0.0;0.443;0.286;0.0;0.248;0.638;87.105;audio_features;0FNPiAAdWdWaGr7JOnlKmi;spotify:track:0FNPiAAdWdWaGr7JOnlKmi;https://api.spotify.com/v1/tracks/0FNPiAAdWdWaGr7JOnlKmi;https://api.spotify.com/v1/audio-analysis/0FNPiAAdWdWaGr7JOnlKmi;282187.0;4.0;;
All Matter;5.3351;False;2020-05-23T20:07:13Z;Airtight's Revenge;2010-09-14;4jCbgl5Dmt3uOh8WRQfpPs;0.571;0.881;1.0;-4.712;1.0;0.0716;0.000113;3.59e-05;0.139;0.636;112.993;audio_features;4hdeaFADWgq7KRByXqSwHq;spotify:track:4hdeaFADWgq7KRByXqSwHq;https://api.spotify.com/v1/tracks/4hdeaFADWgq7KRByXqSwHq;https://api.spotify.com/v1/audio-analysis/4hdeaFADWgq7KRByXqSwHq;320107.0;4.0;;
Calls - Mr Porter Remix;4.131333333333333;False;2020-05-23T20:05:10Z;Porter Chops Glasper;2014-01-01;7vZ7qmfXiu114lY0qm7rOe,6AVLthptCPhfrxlHadOBJD,5DKuVtlpDH0agZQUFDy8O7,4NhyK1Uoo8ScQOSl8x0jqI;0.491;0.684;6.0;-7.559;1.0;0.316;0.281;7.74e-05;0.0609;0.638;166.277;audio_features;60SuXio4AIdlHafC7onlBI;spotify:track:60SuXio4AIdlHafC7onlBI;https://api.spotify.com/v1/tracks/60SuXio4AIdlHafC7onlBI;https://api.spotify.com/v1/audio-analysis/60SuXio4AIdlHafC7onlBI;247880.0;4.0;;
Tempestade;4.2431;False;2020-05-22T02:29:20Z;Chico Pinheiro;2005;5YfW24O2P3ljTAZjBRr4jy;0.396;0.424;9.0;-13.808;0.0;0.0368;0.916;0.0574;0.136;0.541;166.033;audio_features;1JrsgDxqfBzTJWgQqJF4T5;spotify:track:1JrsgDxqfBzTJWgQqJF4T5;https://api.spotify.com/v1/tracks/1JrsgDxqfBzTJWgQqJF4T5;https://api.spotify.com/v1/audio-analysis/1JrsgDxqfBzTJWgQqJF4T5;254587.0;5.0;;
Amen;3.6326666666666667;False;2020-05-20T04:03:03Z;What I'm Feelin';2016-03-25;2DzRMyWgjuMbYvt5BLbpCo;0.755;0.644;2.0;-6.176;1.0;0.136;0.145;0.0;0.208;0.257;119.908;audio_features;7xwdpeyi9hVyKlXFQ5PAqa;spotify:track:7xwdpeyi9hVyKlXFQ5PAqa;https://api.spotify.com/v1/tracks/7xwdpeyi9hVyKlXFQ5PAqa;https://api.spotify.com/v1/audio-analysis/7xwdpeyi9hVyKlXFQ5PAqa;217960.0;4.0;;
Turkey Taco;4.044983333333334;False;2020-05-19T16:46:01Z;Velvet Portraits;2016-04-01;7MNEVabc4cs19CbzAFZmXz,14J0HOWJMaeGAgETgx31Xi,0ZS8ggGhsmKeyF5GUL2RWg;0.7;0.55;6.0;-6.02;1.0;0.388;0.279;0.158;0.249;0.663;100.974;audio_features;0W7gacwZdstnsFelrKgUkO;spotify:track:0W7gacwZdstnsFelrKgUkO;https://api.spotify.com/v1/tracks/0W7gacwZdstnsFelrKgUkO;https://api.spotify.com/v1/audio-analysis/0W7gacwZdstnsFelrKgUkO;242700.0;4.0;;
For Free? - Interlude;2.18155;True;2020-05-19T16:29:49Z;To Pimp A Butterfly;2015-03-16;2YZyLoL8N0Wb9xBt1NhZWg;0.526;0.896;8.0;-4.708;1.0;0.197;0.588;0.0;0.37;0.745;129.313;audio_features;75izAeHlGuOgA865CFDyIv;spotify:track:75izAeHlGuOgA865CFDyIv;https://api.spotify.com/v1/tracks/75izAeHlGuOgA865CFDyIv;https://api.spotify.com/v1/audio-analysis/75izAeHlGuOgA865CFDyIv;130893.0;1.0;;
Interstellar Universe;6.387716666666667;False;2020-05-19T16:24:51Z;Astral Progressions;2016-10-07;5rQ9q5c4pQKwn3OmpKE6vA,6HQYnRM4OzToCYPpVBInuU;0.429;0.861;3.0;-5.079;0.0;0.0419;0.281;0.445;0.0849;0.436;154.894;audio_features;4BUWGLSKMNpWbi8Pcwu8Pu;spotify:track:4BUWGLSKMNpWbi8Pcwu8Pu;https://api.spotify.com/v1/tracks/4BUWGLSKMNpWbi8Pcwu8Pu;https://api.spotify.com/v1/audio-analysis/4BUWGLSKMNpWbi8Pcwu8Pu;383263.0;3.0;;
i;5.600216666666666;True;2020-05-19T16:10:56Z;To Pimp A Butterfly;2015-03-16;2YZyLoL8N0Wb9xBt1NhZWg;0.541;0.809;8.0;-4.286;1.0;0.324;0.708;0.0;0.72;0.753;120.094;audio_features;3ODXRUPL44f04cCacwiCLC;spotify:track:3ODXRUPL44f04cCacwiCLC;https://api.spotify.com/v1/tracks/3ODXRUPL44f04cCacwiCLC;https://api.spotify.com/v1/audio-analysis/3ODXRUPL44f04cCacwiCLC;336013.0;4.0;;
If;3.8571;True;2020-05-19T15:15:14Z;Presents Welcome To Tha Chuuch - Tha Album;2005-12-13;7hJcb9fa4alzcOq3EaNPoG;0.7;0.604;10.0;-6.076;0.0;0.079;0.576;0.0;0.54;0.482;105.971;audio_features;5MpbHaH0Pd0FhxdIqRGGzf;spotify:track:5MpbHaH0Pd0FhxdIqRGGzf;https://api.spotify.com/v1/tracks/5MpbHaH0Pd0FhxdIqRGGzf;https://api.spotify.com/v1/audio-analysis/5MpbHaH0Pd0FhxdIqRGGzf;231427.0;4.0;;
